sentence,label,id,token_count,char_count,avg_word_len,dep_depth,num_clauses,passive_voice_count,negation_count,hedge_count,num_financial_terms,num_entities,entity_density,flesch_reading_ease,flesch_kincaid_grade,complexity_score
"Clothing retail chain Sepp+ñl+ñ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",positive,10,30,143,4.1,4,0,0,0,0,2,6,0.2,90.32,2.34,0.10251994276113101
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",positive,11,34,163,4.417,8,2,0,0,0,2,5,0.1471,65.25,6.08,0.21175926055331942
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",positive,12,50,254,4.474,7,1,0,0,0,0,10,0.2,80.62,3.65,0.19539538455326974
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",positive,13,46,237,5.139,9,6,0,0,1,2,6,0.1304,31.12,17.61,0.4567573621670642
"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .",positive,14,25,138,5.474,6,1,0,0,1,0,3,0.12,8.88,16.99,0.2545763143510236
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",positive,15,27,125,3.947,6,1,0,0,0,1,4,0.1481,90.09,2.76,0.13958292570438283
"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",positive,16,23,107,4.294,6,0,2,0,0,0,4,0.1739,68.1,8.73,0.13644253285877558
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",positive,17,50,246,4.765,7,1,0,0,0,0,10,0.2,68.34,7.29,0.21514364844215864
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",positive,18,39,182,4.097,5,0,0,0,0,1,5,0.1282,83.71,3.32,0.13168889991428145
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),positive,19,28,118,3.692,5,0,0,0,0,1,6,0.2143,87.95,2.48,0.10581377879025045
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",positive,20,32,140,3.947,6,2,0,0,0,0,6,0.1875,101.09,0.5,0.16478934124055855
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,positive,21,31,154,4.909,5,0,0,0,0,3,7,0.2258,67.88,5.94,0.13039943366751142
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",positive,22,32,165,4.913,6,1,0,0,0,2,4,0.125,62.97,6.71,0.17070296971278076
"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .",positive,23,31,159,4.826,7,0,0,0,0,2,4,0.129,62.97,6.71,0.14739746384913535
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",positive,24,31,162,5.136,6,1,0,0,0,3,4,0.129,51.62,8.21,0.17690300604999007
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",positive,25,36,164,4.04,7,1,0,0,0,1,7,0.1944,85.92,2.82,0.16376056341308884
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",positive,26,37,206,5.3,6,2,0,0,0,0,6,0.1622,35.33,10.9,0.2309028748322898
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",positive,27,26,125,4.529,4,0,0,0,0,1,5,0.1923,78.2,3.72,0.10225498394330153
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",positive,28,22,132,5.053,5,0,0,0,0,1,2,0.0909,44.52,12.27,0.14730002111906182
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,positive,29,39,201,4.63,5,1,0,0,0,2,8,0.2051,65.41,7.12,0.18008299713650366
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",positive,30,23,103,4.0,7,0,0,0,0,1,6,0.2609,73.17,4.71,0.12104289343569867
"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",positive,31,45,232,4.941,6,0,0,0,0,0,7,0.1556,53.97,10.45,0.1884097889957265
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",positive,32,19,87,4.667,4,0,0,0,0,0,3,0.1579,80.78,3.86,0.08944864108154443
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",positive,33,32,162,5.273,6,2,0,0,0,1,3,0.0938,39.56,10.72,0.22023638985166968
"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",positive,34,36,157,4.208,4,0,0,0,0,1,7,0.1944,90.66,2.77,0.11648074904343071
"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",positive,35,34,150,3.692,4,0,0,0,0,1,5,0.1471,96.41,1.3,0.104629519634516
"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",positive,36,35,195,4.719,10,1,0,0,0,0,3,0.0857,42.94,15.72,0.25104032731440074
Sales have risen in other export markets .,positive,37,8,42,4.857,3,0,0,0,0,0,0,0.0,66.79,5.68,0.07159468715836813
Sales increased due to growing market rates and increased operations .,positive,38,11,70,5.9,4,0,0,0,0,0,0,0.0,52.87,8.37,0.09841308108477438
The agreement strengthens our long-term partnership with Nokia Siemens Networks .,positive,39,13,81,6.273,4,0,0,0,0,0,1,0.0769,19.03,13.09,0.12789668896591136
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,positive,40,29,159,4.68,8,2,0,0,0,0,3,0.1034,57.56,12.19,0.23521820960047704
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",positive,41,39,177,4.28,6,0,0,0,0,0,7,0.1795,77.97,4.43,0.14412129174120453
"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",positive,42,34,189,5.067,7,1,0,0,0,0,2,0.0588,38.92,15.53,0.22884075761528525
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive,43,50,251,4.742,7,1,0,0,0,1,8,0.16,78.09,4.5,0.2000069296921586
"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",positive,44,51,233,4.333,4,1,0,0,0,1,11,0.2157,83.75,3.17,0.17549843315195787
"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",positive,45,41,172,4.542,5,1,0,0,0,0,10,0.2439,92.92,3.78,0.16583830640652952
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,positive,46,29,164,5.038,7,2,0,0,0,1,3,0.1034,63.49,7.63,0.20406836985688734
"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",positive,47,42,197,4.276,6,2,0,0,0,2,8,0.1905,84.9,3.65,0.20125902995179887
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",neutral,48,52,290,4.979,8,1,0,0,0,0,7,0.1346,1.25,25.01,0.32156702662244085
"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .",neutral,49,21,109,5.467,4,0,0,0,0,0,4,0.1905,30.33,13.25,0.14426862049045916
"When this investment is in place , Atria plans to expand into the Moscow market .",neutral,50,16,81,4.571,4,2,0,0,1,0,2,0.125,59.68,8.41,0.20554223967650567
"In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares .",neutral,51,28,142,4.542,6,1,0,0,0,0,4,0.1429,56.8,11.8,0.19056604908939576
STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,neutral,52,34,198,5.92,7,0,2,0,0,0,3,0.0882,52.56,13.63,0.19075482011528525
The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .,neutral,53,26,137,4.818,6,1,2,0,1,0,1,0.0385,32.68,14.41,0.24251690301381434
"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .",positive,54,24,124,4.111,4,0,0,0,0,0,5,0.2083,79.62,3.58,0.09761946633994238
"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",neutral,55,22,120,4.579,6,0,2,0,1,0,2,0.0909,60.63,10.02,0.18316991294598492
"On the route between Helsinki in Finland and Tallinn in Estonia , cargo volumes increased by 36 % , while cargo volumes between Finland and Sweden fell by 9 % .",neutral,56,31,160,5.083,7,1,0,0,0,0,8,0.2581,47.04,13.16,0.21016873121024648
"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .",positive,57,28,143,4.65,5,1,0,0,0,1,6,0.2143,95.0,1.5,0.12827471629025045
Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,neutral,58,25,135,5.0,6,0,0,0,0,0,6,0.24,61.08,7.47,0.13348256435102365
"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .",positive,59,48,276,5.136,15,3,0,1,0,0,6,0.125,10.28,22.76,0.4853687411486285
"The company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' .",positive,60,45,267,5.526,11,3,0,0,0,0,3,0.0667,18.19,20.66,0.3591871995192308
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,positive,61,19,126,6.176,6,0,0,0,0,1,2,0.1053,19.37,15.03,0.16287028237427947
"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",positive,62,26,126,4.5,5,0,0,0,0,0,5,0.1923,82.9,3.44,0.1071461431313357
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",positive,63,18,92,5.154,6,0,0,0,0,0,3,0.1667,67.53,7.57,0.12045920760037765
"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",positive,64,26,158,6.35,5,1,0,0,0,0,2,0.0769,4.65,17.58,0.21163833063133572
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",positive,65,41,208,4.714,7,1,0,0,0,1,9,0.2195,60.01,9.48,0.209583298393709
Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,positive,66,28,135,4.091,5,0,0,0,0,2,5,0.1786,88.03,3.22,0.10982853573469491
Finnish Bank of +àland 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,positive,67,32,159,4.44,6,0,0,0,0,2,5,0.1562,78.25,4.83,0.1327255391572252
"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",positive,68,29,155,5.0,7,0,0,0,0,2,6,0.2069,56.25,7.48,0.14769901221799842
"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",positive,69,33,180,5.12,6,0,0,0,0,0,6,0.1818,54.08,8.12,0.15251291601446035
Net sales of Finnish food industry company L+ñnnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,positive,70,29,153,4.7,7,0,0,0,0,0,7,0.2414,72.37,5.4,0.1364142899957762
An individual promotion also generated slightly higher-than-expected revenues .,positive,71,13,79,6.8,3,0,0,0,1,0,0,0.0,-55.08,22.93,0.2165385158889883
Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,positive,72,22,130,5.143,7,1,2,0,1,0,2,0.0909,24.38,15.08,0.24481020407846352
"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",positive,73,32,167,5.13,6,0,0,0,0,2,4,0.125,47.3,8.9,0.15480670235166966
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive,74,17,79,4.909,3,0,0,0,0,1,5,0.2941,59.68,8.41,0.10384774554015107
Clothing chain Sepp+ñl+ñ 's net sales increased by 7.0 % to EUR 30.8 mn .,positive,75,15,73,4.333,4,0,0,0,0,0,3,0.2,96.11,1.47,0.06873012323593718
Construction volumes meanwhile grow at a rate of 10-15 percent annually .,positive,76,14,73,5.6,6,0,0,0,0,0,1,0.0714,49.54,9.08,0.12089954392143709
Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .,positive,77,17,104,6.231,3,0,0,0,1,0,4,0.2353,28.05,13.07,0.1707965302623733
"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",positive,78,30,150,4.4,6,2,0,0,0,1,3,0.1,66.63,10.67,0.21608915349831048
"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",positive,79,24,115,4.412,5,0,0,0,0,1,6,0.25,47.56,11.1,0.1448283338613099
"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .",positive,80,19,105,4.857,5,0,0,0,0,2,4,0.2105,40.29,11.86,0.1392616752695786
"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",positive,81,28,128,3.75,5,0,0,0,0,0,5,0.1786,103.62,0.88,0.09713322323469491
"International sales rose by 59.8 % to EUR 1,244.4 mn .",positive,82,11,54,4.429,3,0,0,0,0,0,2,0.1818,80.07,3.21,0.06400803300785132
Net sales grew in the period to x20ac 402 million $ 585US million from x20ac 401 million in 2006 .,positive,83,20,98,4.333,4,0,0,0,0,0,4,0.2,80.47,6.51,0.10576379571655732
Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,positive,84,18,82,3.571,6,0,0,0,0,0,6,0.3333,73.17,6.78,0.11617318329482211
"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",positive,85,32,130,3.81,5,2,0,0,0,0,4,0.125,91.47,1.99,0.16646285219141324
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",positive,86,19,89,4.071,6,0,0,0,0,0,3,0.1579,86.62,2.58,0.0953247094576128
Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,positive,87,15,69,4.2,3,0,0,0,0,2,3,0.2,85.3,2.44,0.06758245363123634
Operating profit margin increased from 11.2 % to 11.7 % .,positive,88,11,57,6.0,3,0,0,0,0,3,2,0.1818,54.73,6.62,0.0825084670356291
Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,positive,89,18,91,4.357,4,0,0,0,0,2,3,0.1667,71.7,4.67,0.0919051878354204
Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,positive,90,17,80,4.077,4,0,0,0,0,2,2,0.1176,87.68,3.02,0.0810153804226297
"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",positive,91,13,56,3.778,5,0,0,0,0,2,2,0.1538,85.89,2.65,0.07766632037616776
"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .",positive,92,36,197,5.44,9,0,0,0,1,0,6,0.1667,77.74,3.96,0.19665486095582388
"Revenue grew by 2 percent to x20ac 580 million $ 743 million , from x20ac 569 million .",positive,93,18,87,5.222,4,0,0,0,0,1,2,0.1111,73.17,6.78,0.1033526704743093
Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .,positive,94,28,161,5.08,7,2,0,0,0,0,6,0.2143,41.56,14.17,0.23761215619409662
"Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said .",positive,95,35,181,5.192,5,1,0,0,0,0,5,0.1429,38.43,14.61,0.21296690984645203
Sanoma Magazines ' net sales are estimated to grow in 2006 .,positive,96,12,60,4.778,3,1,2,0,1,0,2,0.1667,69.79,6.01,0.15058143417064204
The bank forecasts Finland 's GDP will grow by 2 % in 2010 and in 2011 .,positive,97,17,72,3.909,4,1,0,0,0,0,4,0.2353,95.73,3.63,0.11210262000596301
"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",positive,98,23,106,4.562,8,0,0,0,0,2,2,0.087,56.77,6.75,0.13852085817928841
The Department Store Division reported an increase in sales of 4 per cent .,positive,99,14,75,5.0,6,0,0,0,0,0,2,0.1429,63.49,7.63,0.11303279044921488
The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,positive,100,28,141,4.217,6,0,0,0,0,0,4,0.1429,81.77,4.09,0.12095884422828466
"The last quarter was the best quarter of 2009 in net sales , and the operating margin rose to 12.2 % .",positive,101,22,102,4.118,4,0,0,0,0,2,3,0.1364,76.23,7.35,0.11419705637547206
"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .",positive,102,26,145,4.95,4,0,0,0,0,0,5,0.1923,87.95,2.48,0.09552755338774598
"The transaction doubles Tecnomens workforse , and adds a fourth to their net sales .",positive,103,15,84,5.231,4,0,0,0,0,0,3,0.2,76.5,5.82,0.09233038365260386
- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,positive,104,15,65,4.714,4,0,0,0,0,2,2,0.1333,74.86,4.06,0.08278177254149274
"`` After this purchase , Cramo will become the second largest rental services provider in the Latvian market .",positive,105,20,110,5.5,4,0,0,0,0,0,3,0.15,37.26,12.04,0.13576596585544623
`` The purchase of the operations is part of YIT 's strategy to expand its offering of building system services geographically . '',positive,106,24,131,5.368,9,1,0,0,0,0,1,0.0417,25.8,14.63,0.21739861297455776
21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,positive,107,45,212,4.188,7,1,0,0,0,1,10,0.2222,74.86,6.13,0.19916032318376067
"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",positive,108,24,113,4.263,5,0,0,0,0,0,3,0.125,72.62,5.86,0.11639951441686543
Finnish Aldata Solution has signed a contract of supply its G.O.L.D. system to two French retail chains .,positive,109,18,105,4.938,6,0,0,0,0,0,5,0.2778,68.82,5.77,0.11069358260037765
Finnish Bank of +àland reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .,positive,110,31,155,4.36,6,1,0,0,0,2,5,0.1613,74.5,5.27,0.16095248521665673
Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .,positive,111,21,109,4.733,4,0,0,0,0,2,6,0.2857,77.4,4.12,0.09473520035157028
Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .,positive,112,30,161,4.708,5,0,0,0,0,0,6,0.2,65.75,6.49,0.13144539014360965
Finnish KCI Konecranes has raised its net sales growth estimate for 2006 from over 25 % to over 35 % .,positive,113,21,102,4.733,4,0,0,0,0,2,5,0.2381,80.47,6.51,0.10770178021268136
Finnish Okmetic that manufactures and processes silicon wafers for the semiconductor and sensor industries and Norwegian solar wafer company NorSun have signed a contract under which Okmetic will supply NorSun mono silicon crystals for use in solar cell manufacturing .,positive,114,40,269,5.872,8,2,0,0,0,1,6,0.15,-4.12,23.52,0.3180052230856192
Finnish pharmaceuticals company Orion 's net sales rose to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .,positive,115,27,143,4.571,5,0,0,0,0,0,6,0.2222,60.05,11.34,0.1519443706830153
"Finnish Ponsse has signed an agreement with Babcock Africa for the distribution and support of Ponsse forest machines , harvester heads , and information systems in South Africa .",positive,116,29,179,5.692,8,0,0,0,0,0,5,0.1724,24.26,16.33,0.20212359154492152
South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish M-real Corporation 's Graphic Papers Business unit .,positive,117,31,188,5.571,8,1,0,0,0,2,5,0.1613,9.22,18.93,0.2478832410927251
According to Deputy MD Pekka Silvennoinen the aim is double turnover over the next three years .,positive,118,17,96,4.938,5,0,0,0,0,0,2,0.1176,53.12,9.82,0.12431799794399723
"According to HKScan Finland , the plan is to increase J+ñrvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn .",positive,119,24,114,4.294,4,1,0,0,1,0,4,0.1667,76.56,7.55,0.188602539256609
"Advertising and circulation revenues grew by 3.4 % and by 0.4 % , respectively .",positive,120,15,80,6.222,4,0,0,0,0,0,2,0.1333,32.05,10.16,0.1158763905970483
"After the takeover , Cramo will become the second largest rental services provider in the Latvian market .",positive,121,18,106,5.438,4,0,0,0,0,0,3,0.1667,31.97,12.78,0.13590475380764264
"Again , the most significant sales increase of 18.6 % was in Russia .",positive,122,14,69,4.9,4,0,0,0,0,0,2,0.1429,70.51,4.79,0.08480429151759095
Alma Media expects its net sales to increase as forecast previously .,positive,123,12,69,5.182,3,2,0,0,1,1,1,0.0833,41.85,10.15,0.20082014944841978
Also Lemmink+ñinen 's profit for accounting period went up to EUR 3.1 mn from EUR -24.5 mn a year ago .,positive,124,21,103,3.688,4,0,0,0,0,1,4,0.1905,77.4,4.12,0.09473520035157028
"At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .",positive,125,28,119,3.789,5,0,0,0,0,0,4,0.1429,88.91,3.84,0.11319225101247267
"At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 .",positive,126,19,86,4.0,4,0,0,0,0,1,3,0.1579,80.1,6.31,0.10274074177598887
"Both operating profit and net sales for the 12-month period increased , respectively from EUR10 .5 m and EUR28 .8 m , as compared to the financial year 2004 .",positive,127,32,158,4.773,5,0,0,0,0,2,4,0.125,62.97,6.71,0.13651493552474658
"Both operating profit and net sales for the 12-month period increased , respectively from EUR20 .8 m and EUR177 .7 m , as compared to the financial year 2004 .",positive,128,32,159,4.773,5,0,0,0,0,2,4,0.125,62.97,6.71,0.13651493552474658
"Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 .",positive,129,29,140,4.684,5,0,0,0,0,2,4,0.1379,64.77,6.21,0.12798830842526335
